timestamp,message
1748252021007,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""SetLoggingBehavior"",""Identifier"":""29531339-b2f8-4504-8594-71ea234fa42e"",""Timestamp"":""2025-05-26T09:33:41.007Z"",""Parameters"":{""LoggingBehavior"":""Enable""}}"
1748252021020,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""SetContactFlow"",""Identifier"":""b0befdcf-8d8f-4f90-bb0b-4e8498034504"",""Timestamp"":""2025-05-26T09:33:41.020Z"",""Parameters"":{""Type"":""CustomerQueue"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/7094f8ff-8c58-4945-9fb6-df8f594ca9d9""}}"
1748252021082,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""InvokeExternalResource"",""Identifier"":""b57c9963-90ef-44ed-a588-b122e1e62814"",""Timestamp"":""2025-05-26T09:33:41.082Z"",""ExternalResults"":{""body"":""Hello hemjyoti, Thank you for calling Hemjyoti IT consulting services"",""statusCode"":""200""},""Parameters"":{""FunctionArn"":""arn:aws:lambda:us-east-1:342262165096:function:MyFirstLambda"",""ResponseValidation"":""ResponseType=STRING_MAP"",""TimeLimit"":""3000""}}"
1748252021167,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""PlayPrompt"",""Identifier"":""b24f35c5-68cb-41ce-87c7-f2534ca97660"",""Timestamp"":""2025-05-26T09:33:41.167Z"",""Parameters"":{""TextToSpeechType"":""text"",""Text"":""Hello hemjyoti, Thank you for calling Hemjyoti IT consulting services"",""Voice"":""Joanna""}}"
1748252027108,"{""Results"":""Success"",""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""PlayPrompt"",""Identifier"":""b24f35c5-68cb-41ce-87c7-f2534ca97660"",""Timestamp"":""2025-05-26T09:33:47.108Z""}"
1748252027132,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""GetUserInput"",""Identifier"":""79de4caf-7ebe-469f-a928-bcd784f6f03e"",""Timestamp"":""2025-05-26T09:33:47.132Z"",""Parameters"":{""TextToSpeechType"":""text"",""NoInputTimeout"":""3000"",""LexVersion"":""V2"",""BotAliasArn"":""arn:aws:lex:us-east-1:342262165096:bot-alias/DVBRZJU0PZ/4HTEEDDPSD"",""Parameter"":""x-amz-lex:connect-originating-request-id=151dc3cf-5870-3127-8827-32af0a6c83fc"",""Text"":""How may I help you today"",""Voice"":""Joanna"",""MaxSpeechDuration"":""12000""}}"
1748252066482,"{""Results"":""Payment"",""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""GetUserInput"",""Identifier"":""79de4caf-7ebe-469f-a928-bcd784f6f03e"",""Timestamp"":""2025-05-26T09:34:26.482Z""}"
1748252066504,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""SetQueue"",""Identifier"":""0774001b-1750-4048-bc4b-745582878981"",""Timestamp"":""2025-05-26T09:34:26.504Z"",""Parameters"":{""Queue"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/queue/c9ec8870-a78d-4c86-ae25-941bf2b2c497""}}"
1748252066528,"{""Results"":""true"",""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""CheckHoursOfOperation"",""Identifier"":""d3e5862f-21eb-4e13-87c8-414048bd10bf"",""Timestamp"":""2025-05-26T09:34:26.528Z"",""Parameters"":{}}"
1748252066553,"{""ContactId"":""0c48b8f5-767a-436c-b330-97d147b0fa03"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/e305de3e-44cd-4503-93b4-e8213c749a9c"",""ContactFlowName"":""Hemjyoti IT consulting inbound call flow"",""ContactFlowModuleType"":""SetContactFlow"",""Identifier"":""99e9d49d-377a-4797-938b-a1ddf1ebe384"",""Timestamp"":""2025-05-26T09:34:26.553Z"",""Parameters"":{""Type"":""CustomerWhisper"",""ContactFlowId"":""arn:aws:connect:us-east-1:342262165096:instance/a6bb2ede-0d28-4ee4-80a2-05a49d1fc5f3/contact-flow/479a8981-16a6-4513-ac65-9785fb9da21a""}}"
